variable,expression,result
y,y ^ { m }, m y ^ { m - 1 }
z,z ^ { 0 }, 0 z ^ { 0 - 1 }
A,A ^ { 0 }, 0
B,B ^ { 0 }, 0
C,C ^ { 0 }, 0
D,D ^ { 0 }, 0
E,E ^ { 0 }, 0
F,F ^ { 0 }, 0
G,G ^ { 0 }, 0
H,H ^ { 0 }, 0
I,I ^ { 0 }, 0
J,J ^ { 0 }, 0
K,K ^ { 0 }, 0
L,L ^ { 0 }, 0
M,M ^ { 0 }, 0
N,N ^ { 0 }, 0
O,O ^ { 0 }, 0
P,P ^ { 0 }, 0
Q,Q ^ { 0 }, 0
R,R ^ { 0 }, 0
S,S ^ { 0 }, 0
T,T ^ { 0 }, 0
U,U ^ { 0 }, 0
V,V ^ { 0 }, 0
W,W ^ { 0 }, 0
X,X ^ { 0 }, 0
Y,Y ^ { 0 }, 0
Z,Z ^ { 0 }, 0
\Delta,\Delta ^ { 0 }, 0
\Gamma,\Gamma ^ { 0 }, 0
\Lambda,\Lambda ^ { 0 }, 0
\Omega,\Omega ^ { 0 }, 0
\Phi,\Phi ^ { 0 }, 0
\Pi,\Pi ^ { 0 }, 0
\Psi,\Psi ^ { 0 }, 0
\Sigma,\Sigma ^ { 0 }, 0
\Theta,\Theta ^ { 0 }, 0
\Xi,\Xi ^ { 0 }, 0
\alpha,\alpha ^ { 0 }, 0
\beta,\beta ^ { 0 }, 0
\chi,\chi ^ { 0 }, 0
\delta,\delta ^ { 0 }, 0
\epsilon,\epsilon ^ { 0 }, 0
\eta,\eta ^ { 0 }, 0
\gamma,\gamma ^ { 0 }, 0
\kappa,\kappa ^ { 0 }, 0
\lambda,\lambda ^ { 0 }, 0
\mu,\mu ^ { 0 }, 0
\nu,\nu ^ { 0 }, 0
\omega,\omega ^ { 0 }, 0
\phi,\phi ^ { 0 }, 0
\pi,\pi ^ { 0 }, 0
\psi,\psi ^ { 0 }, 0
\rho,\rho ^ { 0 }, 0
\sigma,\sigma ^ { 0 }, 0
\tau,\tau ^ { 0 }, 0
\theta,\theta ^ { 0 }, 0
\varepsilon,\varepsilon ^ { 0 }, 0
\varphi,\varphi ^ { 0 }, 0
\varpi,\varpi ^ { 0 }, 0
\varrho,\varrho ^ { 0 }, 0
\vartheta,\vartheta ^ { 0 }, 0
\xi,\xi ^ { 0 }, 0
\zeta,\zeta ^ { 0 }, 0
a,a ^ { 0 }, 0
b,b ^ { 0 }, 0
c,c ^ { 0 }, 0
d,d ^ { 0 }, 0
e,e ^ { 0 }, 0
f,f ^ { 0 }, 0
g,g ^ { 0 }, 0
h,h ^ { 0 }, 0
i,i ^ { 0 }, 0
j,j ^ { 0 }, 0
k,k ^ { 0 }, 0
l,l ^ { 0 }, 0
m,m ^ { 0 }, 0
n,n ^ { 0 }, 0
o,o ^ { 0 }, 0
p,p ^ { 0 }, 0
q,q ^ { 0 }, 0
r,r ^ { 0 }, 0
s,s ^ { 0 }, 0
t,t ^ { 0 }, 0
u,u ^ { 0 }, 0
v,v ^ { 0 }, 0
w,w ^ { 0 }, 0
x,x ^ { 0 }, 0
y,y ^ { 0 }, 0
z,z ^ { 0 }, 0
A,X ^ { A }, X ^ { A } \ln ( X )
B,9 ^ { B }, 9 ^ { B } \ln ( 9 )
C,\Phi ^ { C }, \Phi ^ { C } \ln ( \Phi )
D,\zeta ^ { D }, \zeta ^ { D } \ln ( \zeta )
E,w ^ { E }, w ^ { E } \ln ( w )
F,\Sigma ^ { F }, \Sigma ^ { F } \ln ( \Sigma )
G,5 ^ { G }, 5 ^ { G } \ln ( 5 )
H,\zeta ^ { H }, \zeta ^ { H } \ln ( \zeta )
I,F ^ { I }, F ^ { I } \ln ( F )
J,z ^ { J }, z ^ { J } \ln ( z )
K,h ^ { K }, h ^ { K } \ln ( h )
L,b ^ { L }, b ^ { L } \ln ( b )
M,W ^ { M }, W ^ { M } \ln ( W )
N,\varepsilon ^ { N }, \varepsilon ^ { N } \ln ( \varepsilon )
O,\omega ^ { O }, \omega ^ { O } \ln ( \omega )
P,6 ^ { P }, 6 ^ { P } \ln ( 6 )
Q,8 ^ { Q }, 8 ^ { Q } \ln ( 8 )
R,Z ^ { R }, Z ^ { R } \ln ( Z )
S,\varphi ^ { S }, \varphi ^ { S } \ln ( \varphi )
T,6 ^ { T }, 6 ^ { T } \ln ( 6 )
U,b ^ { U }, b ^ { U } \ln ( b )
V,e ^ { V }, e ^ { V } \ln ( e )
W,\varrho ^ { W }, \varrho ^ { W } \ln ( \varrho )
X,\tau ^ { X }, \tau ^ { X } \ln ( \tau )
Y,T ^ { Y }, T ^ { Y } \ln ( T )
Z,0 ^ { Z }, 0 ^ { Z } \ln ( 0 )
\Delta,f ^ { \Delta }, f ^ { \Delta } \ln ( f )
\Gamma,O ^ { \Gamma }, O ^ { \Gamma } \ln ( O )
\Lambda,\varepsilon ^ { \Lambda }, \varepsilon ^ { \Lambda } \ln ( \varepsilon )
\Omega,D ^ { \Omega }, D ^ { \Omega } \ln ( D )
\Phi,n ^ { \Phi }, n ^ { \Phi } \ln ( n )
\Pi,T ^ { \Pi }, T ^ { \Pi } \ln ( T )
\Psi,\Gamma ^ { \Psi }, \Gamma ^ { \Psi } \ln ( \Gamma )
\Sigma,\sigma ^ { \Sigma }, \sigma ^ { \Sigma } \ln ( \sigma )
\Theta,D ^ { \Theta }, D ^ { \Theta } \ln ( D )
\Xi,\kappa ^ { \Xi }, \kappa ^ { \Xi } \ln ( \kappa )
\alpha,\Psi ^ { \alpha }, \Psi ^ { \alpha } \ln ( \Psi )
\beta,Z ^ { \beta }, Z ^ { \beta } \ln ( Z )
\chi,\Phi ^ { \chi }, \Phi ^ { \chi } \ln ( \Phi )
\delta,m ^ { \delta }, m ^ { \delta } \ln ( m )
\epsilon,9 ^ { \epsilon }, 9 ^ { \epsilon } \ln ( 9 )
\eta,\Gamma ^ { \eta }, \Gamma ^ { \eta } \ln ( \Gamma )
\gamma,\vartheta ^ { \gamma }, \vartheta ^ { \gamma } \ln ( \vartheta )
\kappa,\psi ^ { \kappa }, \psi ^ { \kappa } \ln ( \psi )
\lambda,E ^ { \lambda }, E ^ { \lambda } \ln ( E )
\mu,\Lambda ^ { \mu }, \Lambda ^ { \mu } \ln ( \Lambda )
\nu,\Lambda ^ { \nu }, \Lambda ^ { \nu } \ln ( \Lambda )
\omega,P ^ { \omega }, P ^ { \omega } \ln ( P )
\phi,V ^ { \phi }, V ^ { \phi } \ln ( V )
\pi,\zeta ^ { \pi }, \zeta ^ { \pi } \ln ( \zeta )
\psi,U ^ { \psi }, U ^ { \psi } \ln ( U )
\rho,\varepsilon ^ { \rho }, \varepsilon ^ { \rho } \ln ( \varepsilon )
\sigma,V ^ { \sigma }, V ^ { \sigma } \ln ( V )
\tau,5 ^ { \tau }, 5 ^ { \tau } \ln ( 5 )
\theta,4 ^ { \theta }, 4 ^ { \theta } \ln ( 4 )
\varepsilon,3 ^ { \varepsilon }, 3 ^ { \varepsilon } \ln ( 3 )
\varphi,C ^ { \varphi }, C ^ { \varphi } \ln ( C )
\varpi,\mu ^ { \varpi }, \mu ^ { \varpi } \ln ( \mu )
\varrho,\sigma ^ { \varrho }, \sigma ^ { \varrho } \ln ( \sigma )
\vartheta,s ^ { \vartheta }, s ^ { \vartheta } \ln ( s )
\xi,\gamma ^ { \xi }, \gamma ^ { \xi } \ln ( \gamma )
\zeta,\varrho ^ { \zeta }, \varrho ^ { \zeta } \ln ( \varrho )
a,\kappa ^ { a }, \kappa ^ { a } \ln ( \kappa )
b,r ^ { b }, r ^ { b } \ln ( r )
c,\rho ^ { c }, \rho ^ { c } \ln ( \rho )
d,b ^ { d }, b ^ { d } \ln ( b )
e,j ^ { e }, j ^ { e } \ln ( j )
f,\omega ^ { f }, \omega ^ { f } \ln ( \omega )
g,\Xi ^ { g }, \Xi ^ { g } \ln ( \Xi )
h,\mu ^ { h }, \mu ^ { h } \ln ( \mu )
i,\mu ^ { i }, \mu ^ { i } \ln ( \mu )
j,S ^ { j }, S ^ { j } \ln ( S )
k,\Psi ^ { k }, \Psi ^ { k } \ln ( \Psi )
l,Y ^ { l }, Y ^ { l } \ln ( Y )
m,\Delta ^ { m }, \Delta ^ { m } \ln ( \Delta )
n,z ^ { n }, z ^ { n } \ln ( z )
o,F ^ { o }, F ^ { o } \ln ( F )
p,O ^ { p }, O ^ { p } \ln ( O )
q,8 ^ { q }, 8 ^ { q } \ln ( 8 )
r,1 ^ { r }, 1 ^ { r } \ln ( 1 )
s,T ^ { s }, T ^ { s } \ln ( T )
t,3 ^ { t }, 3 ^ { t } \ln ( 3 )
u,w ^ { u }, w ^ { u } \ln ( w )
v,H ^ { v }, H ^ { v } \ln ( H )
w,f ^ { w }, f ^ { w } \ln ( f )
x,\lambda ^ { x }, \lambda ^ { x } \ln ( \lambda )
y,l ^ { y }, l ^ { y } \ln ( l )
z,\pi ^ { z }, \pi ^ { z } \ln ( \pi )
A,e ^ { A }, e ^ { A }
B,e ^ { B }, e ^ { B }
C,e ^ { C }, e ^ { C }
D,e ^ { D }, e ^ { D }
E,e ^ { E }, e ^ { E }
F,e ^ { F }, e ^ { F }
G,e ^ { G }, e ^ { G }
H,e ^ { H }, e ^ { H }
I,e ^ { I }, e ^ { I }
J,e ^ { J }, e ^ { J }
K,e ^ { K }, e ^ { K }
L,e ^ { L }, e ^ { L }
M,e ^ { M }, e ^ { M }
N,e ^ { N }, e ^ { N }
O,e ^ { O }, e ^ { O }
P,e ^ { P }, e ^ { P }
Q,e ^ { Q }, e ^ { Q }
R,e ^ { R }, e ^ { R }
S,e ^ { S }, e ^ { S }
T,e ^ { T }, e ^ { T }
U,e ^ { U }, e ^ { U }
V,e ^ { V }, e ^ { V }
W,e ^ { W }, e ^ { W }
X,e ^ { X }, e ^ { X }
Y,e ^ { Y }, e ^ { Y }
Z,e ^ { Z }, e ^ { Z }
\Delta,e ^ { \Delta }, e ^ { \Delta }
\Gamma,e ^ { \Gamma }, e ^ { \Gamma }
\Lambda,e ^ { \Lambda }, e ^ { \Lambda }
\Omega,e ^ { \Omega }, e ^ { \Omega }
\Phi,e ^ { \Phi }, e ^ { \Phi }
\Pi,e ^ { \Pi }, e ^ { \Pi }
\Psi,e ^ { \Psi }, e ^ { \Psi }
\Sigma,e ^ { \Sigma }, e ^ { \Sigma }
\Theta,e ^ { \Theta }, e ^ { \Theta }
\Xi,e ^ { \Xi }, e ^ { \Xi }
\alpha,e ^ { \alpha }, e ^ { \alpha }
\beta,e ^ { \beta }, e ^ { \beta }
\chi,e ^ { \chi }, e ^ { \chi }
\delta,e ^ { \delta }, e ^ { \delta }
\epsilon,e ^ { \epsilon }, e ^ { \epsilon }
\eta,e ^ { \eta }, e ^ { \eta }
\gamma,e ^ { \gamma }, e ^ { \gamma }
\kappa,e ^ { \kappa }, e ^ { \kappa }
\lambda,e ^ { \lambda }, e ^ { \lambda }
\mu,e ^ { \mu }, e ^ { \mu }
\nu,e ^ { \nu }, e ^ { \nu }
\omega,e ^ { \omega }, e ^ { \omega }
\phi,e ^ { \phi }, e ^ { \phi }
\pi,e ^ { \pi }, e ^ { \pi }
\psi,e ^ { \psi }, e ^ { \psi }
\rho,e ^ { \rho }, e ^ { \rho }
\sigma,e ^ { \sigma }, e ^ { \sigma }
\tau,e ^ { \tau }, e ^ { \tau }
\theta,e ^ { \theta }, e ^ { \theta }
\varepsilon,e ^ { \varepsilon }, e ^ { \varepsilon }
\varphi,e ^ { \varphi }, e ^ { \varphi }
\varpi,e ^ { \varpi }, e ^ { \varpi }
\varrho,e ^ { \varrho }, e ^ { \varrho }
\vartheta,e ^ { \vartheta }, e ^ { \vartheta }
\xi,e ^ { \xi }, e ^ { \xi }
\zeta,e ^ { \zeta }, e ^ { \zeta }
a,e ^ { a }, e ^ { a }
b,e ^ { b }, e ^ { b }
c,e ^ { c }, e ^ { c }
d,e ^ { d }, e ^ { d }
e,e ^ { e }, e ^ { e }
f,e ^ { f }, e ^ { f }
g,e ^ { g }, e ^ { g }
h,e ^ { h }, e ^ { h }
i,e ^ { i }, e ^ { i }
j,e ^ { j }, e ^ { j }
k,e ^ { k }, e ^ { k }
l,e ^ { l }, e ^ { l }
m,e ^ { m }, e ^ { m }
n,e ^ { n }, e ^ { n }
o,e ^ { o }, e ^ { o }
p,e ^ { p }, e ^ { p }
q,e ^ { q }, e ^ { q }
r,e ^ { r }, e ^ { r }
s,e ^ { s }, e ^ { s }
t,e ^ { t }, e ^ { t }
u,e ^ { u }, e ^ { u }
v,e ^ { v }, e ^ { v }
w,e ^ { w }, e ^ { w }
x,e ^ { x }, e ^ { x }
y,e ^ { y }, e ^ { y }
z,e ^ { z }, e ^ { z }
A,\exp ( A ), \exp ( A )
B,\exp ( B ), \exp ( B )
C,\exp ( C ), \exp ( C )
D,\exp ( D ), \exp ( D )
E,\exp ( E ), \exp ( E )
F,\exp ( F ), \exp ( F )
G,\exp ( G ), \exp ( G )
H,\exp ( H ), \exp ( H )
I,\exp ( I ), \exp ( I )
J,\exp ( J ), \exp ( J )
K,\exp ( K ), \exp ( K )
L,\exp ( L ), \exp ( L )
M,\exp ( M ), \exp ( M )
N,\exp ( N ), \exp ( N )
O,\exp ( O ), \exp ( O )
P,\exp ( P ), \exp ( P )
Q,\exp ( Q ), \exp ( Q )
R,\exp ( R ), \exp ( R )
S,\exp ( S ), \exp ( S )
T,\exp ( T ), \exp ( T )
U,\exp ( U ), \exp ( U )
V,\exp ( V ), \exp ( V )
W,\exp ( W ), \exp ( W )
X,\exp ( X ), \exp ( X )
Y,\exp ( Y ), \exp ( Y )
Z,\exp ( Z ), \exp ( Z )
\Delta,\exp ( \Delta ), \exp ( \Delta )
\Gamma,\exp ( \Gamma ), \exp ( \Gamma )
\Lambda,\exp ( \Lambda ), \exp ( \Lambda )
\Omega,\exp ( \Omega ), \exp ( \Omega )
\Phi,\exp ( \Phi ), \exp ( \Phi )
\Pi,\exp ( \Pi ), \exp ( \Pi )
\Psi,\exp ( \Psi ), \exp ( \Psi )
\Sigma,\exp ( \Sigma ), \exp ( \Sigma )
\Theta,\exp ( \Theta ), \exp ( \Theta )
\Xi,\exp ( \Xi ), \exp ( \Xi )
\alpha,\exp ( \alpha ), \exp ( \alpha )
\beta,\exp ( \beta ), \exp ( \beta )
\chi,\exp ( \chi ), \exp ( \chi )
\delta,\exp ( \delta ), \exp ( \delta )
\epsilon,\exp ( \epsilon ), \exp ( \epsilon )
\eta,\exp ( \eta ), \exp ( \eta )
\gamma,\exp ( \gamma ), \exp ( \gamma )
\kappa,\exp ( \kappa ), \exp ( \kappa )
\lambda,\exp ( \lambda ), \exp ( \lambda )
\mu,\exp ( \mu ), \exp ( \mu )
\nu,\exp ( \nu ), \exp ( \nu )
\omega,\exp ( \omega ), \exp ( \omega )
\phi,\exp ( \phi ), \exp ( \phi )
\pi,\exp ( \pi ), \exp ( \pi )
\psi,\exp ( \psi ), \exp ( \psi )
\rho,\exp ( \rho ), \exp ( \rho )
\sigma,\exp ( \sigma ), \exp ( \sigma )
\tau,\exp ( \tau ), \exp ( \tau )
\theta,\exp ( \theta ), \exp ( \theta )
\varepsilon,\exp ( \varepsilon ), \exp ( \varepsilon )
\varphi,\exp ( \varphi ), \exp ( \varphi )
\varpi,\exp ( \varpi ), \exp ( \varpi )
\varrho,\exp ( \varrho ), \exp ( \varrho )
\vartheta,\exp ( \vartheta ), \exp ( \vartheta )
\xi,\exp ( \xi ), \exp ( \xi )
\zeta,\exp ( \zeta ), \exp ( \zeta )
a,\exp ( a ), \exp ( a )
b,\exp ( b ), \exp ( b )
c,\exp ( c ), \exp ( c )
d,\exp ( d ), \exp ( d )
e,\exp ( e ), \exp ( e )
f,\exp ( f ), \exp ( f )
g,\exp ( g ), \exp ( g )
h,\exp ( h ), \exp ( h )
i,\exp ( i ), \exp ( i )
j,\exp ( j ), \exp ( j )
k,\exp ( k ), \exp ( k )
l,\exp ( l ), \exp ( l )
m,\exp ( m ), \exp ( m )
n,\exp ( n ), \exp ( n )
o,\exp ( o ), \exp ( o )
p,\exp ( p ), \exp ( p )
q,\exp ( q ), \exp ( q )
r,\exp ( r ), \exp ( r )
s,\exp ( s ), \exp ( s )
t,\exp ( t ), \exp ( t )
u,\exp ( u ), \exp ( u )
v,\exp ( v ), \exp ( v )
w,\exp ( w ), \exp ( w )
x,\exp ( x ), \exp ( x )
y,\exp ( y ), \exp ( y )
z,\exp ( z ), \exp ( z )
A,\ln ( A ), \frac { 1 } { A }
B,\ln ( B ), \frac { 1 } { B }
C,\ln ( C ), \frac { 1 } { C }
D,\ln ( D ), \frac { 1 } { D }
E,\ln ( E ), \frac { 1 } { E }
F,\ln ( F ), \frac { 1 } { F }
G,\ln ( G ), \frac { 1 } { G }
H,\ln ( H ), \frac { 1 } { H }
I,\ln ( I ), \frac { 1 } { I }
J,\ln ( J ), \frac { 1 } { J }
K,\ln ( K ), \frac { 1 } { K }
L,\ln ( L ), \frac { 1 } { L }
M,\ln ( M ), \frac { 1 } { M }
N,\ln ( N ), \frac { 1 } { N }
O,\ln ( O ), \frac { 1 } { O }
P,\ln ( P ), \frac { 1 } { P }
Q,\ln ( Q ), \frac { 1 } { Q }
R,\ln ( R ), \frac { 1 } { R }
S,\ln ( S ), \frac { 1 } { S }
T,\ln ( T ), \frac { 1 } { T }
U,\ln ( U ), \frac { 1 } { U }
V,\ln ( V ), \frac { 1 } { V }
W,\ln ( W ), \frac { 1 } { W }
X,\ln ( X ), \frac { 1 } { X }
Y,\ln ( Y ), \frac { 1 } { Y }
Z,\ln ( Z ), \frac { 1 } { Z }
\Delta,\ln ( \Delta ), \frac { 1 } { \Delta }
\Gamma,\ln ( \Gamma ), \frac { 1 } { \Gamma }
\Lambda,\ln ( \Lambda ), \frac { 1 } { \Lambda }
\Omega,\ln ( \Omega ), \frac { 1 } { \Omega }
\Phi,\ln ( \Phi ), \frac { 1 } { \Phi }
\Pi,\ln ( \Pi ), \frac { 1 } { \Pi }
\Psi,\ln ( \Psi ), \frac { 1 } { \Psi }
\Sigma,\ln ( \Sigma ), \frac { 1 } { \Sigma }
\Theta,\ln ( \Theta ), \frac { 1 } { \Theta }
\Xi,\ln ( \Xi ), \frac { 1 } { \Xi }
\alpha,\ln ( \alpha ), \frac { 1 } { \alpha }
\beta,\ln ( \beta ), \frac { 1 } { \beta }
\chi,\ln ( \chi ), \frac { 1 } { \chi }
\delta,\ln ( \delta ), \frac { 1 } { \delta }
\epsilon,\ln ( \epsilon ), \frac { 1 } { \epsilon }
\eta,\ln ( \eta ), \frac { 1 } { \eta }
\gamma,\ln ( \gamma ), \frac { 1 } { \gamma }
\kappa,\ln ( \kappa ), \frac { 1 } { \kappa }
\lambda,\ln ( \lambda ), \frac { 1 } { \lambda }
\mu,\ln ( \mu ), \frac { 1 } { \mu }
\nu,\ln ( \nu ), \frac { 1 } { \nu }
\omega,\ln ( \omega ), \frac { 1 } { \omega }
\phi,\ln ( \phi ), \frac { 1 } { \phi }
\pi,\ln ( \pi ), \frac { 1 } { \pi }
\psi,\ln ( \psi ), \frac { 1 } { \psi }
\rho,\ln ( \rho ), \frac { 1 } { \rho }
\sigma,\ln ( \sigma ), \frac { 1 } { \sigma }
\tau,\ln ( \tau ), \frac { 1 } { \tau }
\theta,\ln ( \theta ), \frac { 1 } { \theta }
\varepsilon,\ln ( \varepsilon ), \frac { 1 } { \varepsilon }
\varphi,\ln ( \varphi ), \frac { 1 } { \varphi }
\varpi,\ln ( \varpi ), \frac { 1 } { \varpi }
\varrho,\ln ( \varrho ), \frac { 1 } { \varrho }
\vartheta,\ln ( \vartheta ), \frac { 1 } { \vartheta }
\xi,\ln ( \xi ), \frac { 1 } { \xi }
\zeta,\ln ( \zeta ), \frac { 1 } { \zeta }
a,\ln ( a ), \frac { 1 } { a }
b,\ln ( b ), \frac { 1 } { b }
c,\ln ( c ), \frac { 1 } { c }
d,\ln ( d ), \frac { 1 } { d }
e,\ln ( e ), \frac { 1 } { e }
f,\ln ( f ), \frac { 1 } { f }
g,\ln ( g ), \frac { 1 } { g }
h,\ln ( h ), \frac { 1 } { h }
i,\ln ( i ), \frac { 1 } { i }
j,\ln ( j ), \frac { 1 } { j }
k,\ln ( k ), \frac { 1 } { k }
l,\ln ( l ), \frac { 1 } { l }
m,\ln ( m ), \frac { 1 } { m }
n,\ln ( n ), \frac { 1 } { n }
o,\ln ( o ), \frac { 1 } { o }
p,\ln ( p ), \frac { 1 } { p }
q,\ln ( q ), \frac { 1 } { q }
r,\ln ( r ), \frac { 1 } { r }
s,\ln ( s ), \frac { 1 } { s }
t,\ln ( t ), \frac { 1 } { t }
u,\ln ( u ), \frac { 1 } { u }
v,\ln ( v ), \frac { 1 } { v }
w,\ln ( w ), \frac { 1 } { w }
x,\ln ( x ), \frac { 1 } { x }
y,\ln ( y ), \frac { 1 } { y }
z,\ln ( z ), \frac { 1 } { z }
A,\log _ { v } ( A ), \frac { 1 } { A \ln ( { v } ) }
B,\log _ { \Delta } ( B ), \frac { 1 } { B \ln ( { \Delta } ) }
C,\log _ { E } ( C ), \frac { 1 } { C \ln ( { E } ) }
D,\log _ { E } ( D ), \frac { 1 } { D \ln ( { E } ) }
E,\log _ { \epsilon } ( E ), \frac { 1 } { E \ln ( { \epsilon } ) }
F,\log _ { p } ( F ), \frac { 1 } { F \ln ( { p } ) }
G,\log _ { O } ( G ), \frac { 1 } { G \ln ( { O } ) }
H,\log _ { 5 } ( H ), \frac { 1 } { H \ln ( { 5 } ) }
I,\log _ { w } ( I ), \frac { 1 } { I \ln ( { w } ) }
J,\log _ { \alpha } ( J ), \frac { 1 } { J \ln ( { \alpha } ) }
K,\log _ { V } ( K ), \frac { 1 } { K \ln ( { V } ) }
L,\log _ { z } ( L ), \frac { 1 } { L \ln ( { z } ) }
M,\log _ { K } ( M ), \frac { 1 } { M \ln ( { K } ) }
N,\log _ { S } ( N ), \frac { 1 } { N \ln ( { S } ) }
O,\log _ { u } ( O ), \frac { 1 } { O \ln ( { u } ) }
P,\log _ { C } ( P ), \frac { 1 } { P \ln ( { C } ) }
Q,\log _ { \Pi } ( Q ), \frac { 1 } { Q \ln ( { \Pi } ) }
R,\log _ { 9 } ( R ), \frac { 1 } { R \ln ( { 9 } ) }
S,\log _ { t } ( S ), \frac { 1 } { S \ln ( { t } ) }
T,\log _ { \lambda } ( T ), \frac { 1 } { T \ln ( { \lambda } ) }
U,\log _ { k } ( U ), \frac { 1 } { U \ln ( { k } ) }
